indice_tiempo,superficie_sembrada_cebada_ha,superficie_cosechada_cebada_ha,produccion_cebada_t,rendimiento_cebada_kgxha
1938,834564,546539,454385,964.79
1939,796254,572431,687586,952.34
1940,857722,600178,682201,976.13
1941,596928,276764,328476,1059.58
1942,525336,274632,273147,948.32
1943,716900,529734,718001,1087.59
1944,554280,314253,429942,996.68
1945,1224547,908654,946796,979.03
1946,1362309,978918,1167525,936.36
1947,986581,652017,769046,971.43
1948,1030520,621825,700742,944.89
1949,737095,363240,359262,932.34
1950,896570,580165,762534,1048.2
1951,852575,350871,335231,848.27
1952,1107900,839900,1175286,1183.92
1953,1082175,652010,891747,1148.85
1954,1091120,786930,1112609,1127.92
1955,1256905,833006,942071,1055.13
1956,1393488,1011840,1364240,1103.59
1957,1363338,831940,1006203,1026.61
1958,1363763,882080,1048738,1033.81
1959,1331359,906100,1128276,1096.62
1960,1214800,719430,769670,950.45
1961,1170447,735000,793460,998.06
1962,1123665,360197,344017,935.86
1963,811620,604530,901701,1095.94
1964,870345,540580,887144,1246.01
1965,838105,340593,343513,972.09
1966,1034047,411670,437943,923.95
1967,862508,471330,555454,980.62
1968,906590,452540,458182,968.9
1969,944735,456986,569986,1074.75
1970,812540,356182,366978,1026.41
1971,933215,478800,553000,1039.8
1972,1125730,601200,880000,1142.44
1973,1036390,501600,732000,1231.83
1974,949300,368700,430000,1084.91
1975,976280,438800,522700,1245.16
1976,966985,476100,760000,1368.4
1977,889890,310000,353000,1135.93
1978,760900,355000,554000,1339.69
1979,591910,246000,339000,1211.62
1980,554600,172600,217000,1161.69
1981,408905,114700,131500,1052.51
1982,353300,118900,211400,1323.05
1983,291900,96300,166000,1203.7
1984,281700,107200,224000,1575.69
1985,225900,75700,118000,1459.39
1986,209200,76255,139900,1708.43
1987,245550,131138,281700,1570.17
1988,249860,139160,328800,1638.9
1989,274100,162030,364770,1603.66
1990,213500,148900,326600,1916.35
1991,287400,233480,573360,2208.21
1992,284800,228700,583200,2237.67
1993,242350,198850,459439,2075.82
1994,188825,149260,344692,2238.06
1995,262185,217880,385848,1947.67
1996,306850,249860,536443,2203.75
1997,343320,323000,925790,2549.76
1998,241395,212165,538408,2408.7
1999,202540,184605,419556,2403.78
2000,261790,247830,722490,2660.24
2001,280118,246490,530045,1896.57
2002,288103,250760,549830,2062.77
2003,368189,334348,1005460,2542.37
2004,299710,275307,894610,3049.56
2005,295350,267450,799423,2984.23
2006,366390,337592,1268465,3140.75
2007,471685,419180,1481690,3248.77
2008,627130,575800,1690085,2724.71
2009,587795,509150,1365449,2619.72
2010,804450,753310,2983053,3680.81
2011,1229607,1132078,4102231,3312.16
2012,1877235,1703905,5172940,2491.89
2013,1342126,1216266,4729950,3078.09
2014,1082058,900473,2924803,3233.67
2015,1514261,1252066,4953233,3297.16
2016,980043,870213,3308384,3810.37
2017,1019710,936434,3741158,3646.08
2018,1353128,1124019,4636957,3906.71
2019,1277045,1078835,3612804,3336.39
2020,1237023,1006503,4036130,3426.39
2021,1635623,1335623,5279608,3658.58
2022,1801943,1589966,4695914,2304.98
2023,1484473,1296636,5097342,3478.07
2024,1690458,1314219,4823506,3286.73
